マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
東京メトロ副都心線 東新宿駅 7階建 築54年,東京都新宿区新宿７,54,5階,73000.0,8000,2,28.012,https://suumo.jp/chintai/jnc_000080536969/?bc=100301185702,73000.0,73000.0,東京メトロ副都心線,東新宿駅,5.0,0,1,0,0,新宿区,新宿７,19541.313787136554,61458.686212863446,81000.0
コンフォリア西早稲田,東京都新宿区高田馬場１,19,6階,142000.0,10000,1,352.0,https://suumo.jp/chintai/jnc_000080715706/?bc=100317810557,142000.0,142000.0,東京メトロ東西線,高田馬場駅,6.0,1,0,0,0,新宿区,高田馬場１,19543.544575671927,132456.45542432807,152000.0
サン河田,東京都新宿区河田町,8,1階,136000.0,4000,1,44.222,https://suumo.jp/chintai/jnc_000042598268/?bc=100257734642,136000.0,136000.0,都営大江戸線,若松河田駅,1.0,1,0,0,0,新宿区,河田町,19545.122234197624,120454.87776580238,140000.0
東京メトロ南北線 四ツ谷駅 2階建 築2年,東京都新宿区若葉１,2,1階,177000.0,0,1,43.022,https://suumo.jp/chintai/jnc_000079379350/?bc=100316849075,177000.0,354000.0,東京メトロ南北線,四ツ谷駅,1.0,1,0,1,0,新宿区,若葉１,19554.29982698441,157445.7001730156,177000.0
都営大江戸線 中井駅 7階建 築16年,東京都新宿区上落合２,16,6階,95000.0,9500,1,24.452,https://suumo.jp/chintai/jnc_000054500425/?bc=100315621823,0.0,0.0,都営大江戸線,中井駅,6.0,0,1,0,0,新宿区,上落合２,19563.816933373208,84936.18306662679,104500.0
ＣＩＴＹ高田馬場,東京都新宿区高田馬場２,38,4階,68000.0,6000,1,19.862,https://suumo.jp/chintai/jnc_000037312254/?bc=100253216931,68000.0,68000.0,ＪＲ山手線,高田馬場駅,4.0,0,1,0,0,新宿区,高田馬場２,19580.278221708788,54419.72177829121,74000.0
プレール・ドゥーク西新宿,東京都新宿区西新宿４,20,3階,85000.0,8000,1,22.042,https://suumo.jp/chintai/jnc_000079333202/?bc=100312819569,0.0,85000.0,都営大江戸線,西新宿五丁目駅,3.0,0,1,0,0,新宿区,西新宿４,19582.03288899154,73417.96711100846,93000.0
プレール・ドゥーク西新宿,東京都新宿区西新宿４,20,3階,83000.0,10000,1,22.042,https://suumo.jp/chintai/jnc_000055721710/?bc=100276771051,0.0,0.0,都営大江戸線,西新宿五丁目駅,3.0,0,1,0,0,新宿区,西新宿４,19582.03288899154,73417.96711100846,93000.0
ＪＲ山手線 目白駅 3階建 築20年,東京都新宿区下落合３,20,3階,102000.0,3000,1,25.62,https://suumo.jp/chintai/jnc_000080583004/?bc=100317780634,102000.0,102000.0,ＪＲ山手線,目白駅,3.0,0,1,0,0,新宿区,下落合３,19585.79474043366,85414.20525956634,105000.0
ＪＲ山手線 高田馬場駅 12階建 築42年,東京都新宿区高田馬場２,42,7階,97000.0,4000,1,27.042,https://suumo.jp/chintai/jnc_000080598698/?bc=100317887959,0.0,97000.0,ＪＲ山手線,高田馬場駅,7.0,0,1,0,0,新宿区,高田馬場２,19594.89706140544,81405.10293859456,101000.0
メゾン第２三池ビル,東京都新宿区西早稲田２,6,1階,110000.0,0,1,35.362,https://suumo.jp/chintai/jnc_000042366868/?bc=100312572774,110000.0,110000.0,都電荒川線,早稲田駅,1.0,0,1,0,0,新宿区,西早稲田２,19596.100067900567,90403.89993209943,110000.0
ルート四谷三丁目,東京都新宿区大京町,25,1階,90000.0,12000,1,27.472,https://suumo.jp/chintai/jnc_000054845768/?bc=100299294321,0.0,90000.0,東京メトロ丸ノ内線,四谷三丁目駅,1.0,0,0,0,0,新宿区,大京町,19597.28824774576,82402.71175225424,102000.0
ＬＩＦＥ　ＢＡＳＥ西新宿,東京都新宿区西新宿４,0,B1-1階,152000.0,8000,1,41.112,https://suumo.jp/chintai/jnc_000079076150/?bc=100309417665,0.0,0.0,都営大江戸線,西新宿五丁目駅,-1.0,1,0,1,0,新宿区,西新宿４,19598.21298699474,140401.78701300526,160000.0
東京メトロ東西線 早稲田駅 11階建 築20年,東京都新宿区早稲田鶴巻町,20,6階,79500.0,6500,1,20.82,https://suumo.jp/chintai/jnc_000033692083/?bc=100307442175,0.0,0.0,東京メトロ東西線,早稲田駅,6.0,0,1,0,0,新宿区,早稲田鶴巻町,19601.823940750022,66398.17605924998,86000.0
The　Well　Mejiro,東京都新宿区下落合２,5,2階,110000.0,8000,1,25.652,https://suumo.jp/chintai/jnc_000080119199/?bc=100314993790,110000.0,110000.0,ＪＲ山手線,目白駅,2.0,0,1,0,0,新宿区,下落合２,19605.497417768187,98394.50258223181,118000.0
南雲荘,東京都新宿区中里町,49,2階,87000.0,0,2,382.0,https://suumo.jp/chintai/jnc_000077969747/?bc=100303496592,87000.0,87000.0,東京メトロ東西線,神楽坂駅,2.0,1,0,0,0,新宿区,中里町,19609.7639177393,67390.2360822607,87000.0
吉野ハイム,東京都新宿区北新宿１,50,4階,85000.0,0,1,252.0,https://suumo.jp/chintai/jnc_000075973205/?bc=100292087658,85000.0,0.0,東京メトロ丸ノ内線,西新宿駅,4.0,0,0,0,0,新宿区,北新宿１,19611.252688340297,65388.7473116597,85000.0
東京メトロ東西線 落合駅 9階建 築6年,東京都新宿区北新宿４,6,2階,105000.0,7000,1,25.52,https://suumo.jp/chintai/jnc_000080437070/?bc=100316948457,105000.0,105000.0,東京メトロ東西線,落合駅,2.0,0,1,0,0,新宿区,北新宿４,19617.473278851117,92382.52672114888,112000.0
クラシアム飯田橋,東京都新宿区新小川町,0,2階,146000.0,10000,1,25.792,https://suumo.jp/chintai/jnc_000076201197/?bc=100317044411,0.0,0.0,ＪＲ中央線,飯田橋駅,2.0,0,1,0,0,新宿区,新小川町,19641.44372380164,136358.55627619836,156000.0
第二加賀美コーポ,東京都新宿区西新宿５,45,2階,73000.0,2000,1,222.0,https://suumo.jp/chintai/jnc_000013359524/?bc=100306210026,73000.0,73000.0,都営大江戸線,西新宿五丁目駅,2.0,0,1,0,0,新宿区,西新宿５,19647.266566249484,55352.733433750516,75000.0
グランパセオ東新宿,東京都新宿区新宿６,0,4階,137000.0,10000,1,28.632,https://suumo.jp/chintai/jnc_000080702223/?bc=100318971342,0.0,0.0,東京メトロ副都心線,東新宿駅,4.0,0,1,0,0,新宿区,新宿６,19649.74244121043,127350.25755878957,147000.0
都営大江戸線 牛込神楽坂駅 5階建 築14年,東京都新宿区払方町,14,3階,135000.0,10000,1,33.42,https://suumo.jp/chintai/jnc_000080912834/?bc=100319503325,135000.0,135000.0,都営大江戸線,牛込神楽坂駅,3.0,0,0,0,0,新宿区,払方町,19662.5802692454,125337.4197307546,145000.0
セントラルハイツ,東京都新宿区上落合２,38,4階,113000.0,0,2,452.0,https://suumo.jp/chintai/jnc_000078756378/?bc=100307474073,113000.0,0.0,西武新宿線,下落合駅,4.0,1,0,1,0,新宿区,上落合２,19678.22099882817,93321.77900117183,113000.0
ＪＲ中央線 大久保駅 3階建 築25年,東京都新宿区北新宿１,25,1階,80000.0,5000,1,21.562,https://suumo.jp/chintai/jnc_000040334775/?bc=100314957750,80000.0,80000.0,ＪＲ中央線,大久保駅,1.0,0,1,0,0,新宿区,北新宿１,19682.316851386357,65317.68314861364,85000.0
東京メトロ東西線 早稲田駅 5階建 築44年,東京都新宿区早稲田鶴巻町,44,3階,110000.0,0,2,34.712,https://suumo.jp/chintai/jnc_000078425540/?bc=100316292293,110000.0,110000.0,東京メトロ東西線,早稲田駅,3.0,1,0,0,0,新宿区,早稲田鶴巻町,19685.261903382154,90314.73809661785,110000.0
ハーモニーレジデンス高田馬場,東京都新宿区高田馬場２,2,4階,123000.0,15000,1,25.052,https://suumo.jp/chintai/jnc_000080912816/?bc=100319548927,0.0,0.0,ＪＲ山手線,高田馬場駅,4.0,1,0,0,0,新宿区,高田馬場２,19690.808833460876,118309.19116653912,138000.0
東京メトロ丸ノ内線 新宿三丁目駅 8階建 築39年,東京都新宿区新宿５,39,2階,78000.0,0,1,20.252,https://suumo.jp/chintai/jnc_000050470979/?bc=100316308919,78000.0,78000.0,東京メトロ丸ノ内線,新宿三丁目駅,2.0,0,1,0,0,新宿区,新宿５,19700.392639534504,58299.607360465496,78000.0
和田ビル,東京都新宿区神楽坂３,44,2階,100000.0,3000,2,332.0,https://suumo.jp/chintai/jnc_000079901476/?bc=100285520250,100000.0,100000.0,東京メトロ有楽町線,飯田橋駅,2.0,0,1,0,0,新宿区,神楽坂３,19718.930828313707,83281.0691716863,103000.0
ガラ・グランディ西新宿,東京都新宿区西新宿５,18,15階,101000.0,9000,1,24.482,https://suumo.jp/chintai/jnc_000036787976/?bc=100316281473,101000.0,202000.0,東京メトロ丸ノ内線,西新宿駅,15.0,0,1,0,0,新宿区,西新宿５,19730.943574014367,90269.05642598563,110000.0
ＪＲ山手線 高田馬場駅 12階建 築14年,東京都新宿区高田馬場３,14,5階,86000.0,9000,1,23.492,https://suumo.jp/chintai/jnc_000072444954/?bc=100315417604,86000.0,86000.0,ＪＲ山手線,高田馬場駅,5.0,0,1,0,0,新宿区,高田馬場３,19735.36806785359,75264.63193214641,95000.0
パレドール若松町,東京都新宿区若松町,42,2階,79000.0,4000,1,27.832,https://suumo.jp/chintai/jnc_000060761726/?bc=100315311026,0.0,0.0,都営大江戸線,若松河田駅,2.0,1,0,0,0,新宿区,若松町,19752.00988975638,63247.99011024362,83000.0
中井プラムレジデンス,東京都新宿区上落合３,41,8階,110000.0,5000,1,34.652,https://suumo.jp/chintai/jnc_000078872850/?bc=100308212788,110000.0,55000.0,都営大江戸線,中井駅,8.0,1,0,0,0,新宿区,上落合３,19762.75898964911,95237.24101035089,115000.0
ＪＲ山手線 高田馬場駅 2階建 築57年,東京都新宿区高田馬場１,57,2階,70000.0,2000,1,252.0,https://suumo.jp/chintai/jnc_000079994025/?bc=100314313245,0.0,35000.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,高田馬場１,19784.445138332507,52215.55486166749,72000.0
ZOOM都庁前,東京都新宿区西新宿３,6,11階,141000.0,8000,1,30.712,https://suumo.jp/chintai/jnc_000037603203/?bc=100315846877,0.0,141000.0,都営大江戸線,都庁前駅,11.0,0,1,0,0,新宿区,西新宿３,19785.65433203509,129214.34566796491,149000.0
東京メトロ副都心線 東新宿駅 5階建 築51年,東京都新宿区大久保１,51,1階,90000.0,5000,1,31.362,https://suumo.jp/chintai/jnc_000063108032/?bc=100313402258,90000.0,0.0,東京メトロ副都心線,東新宿駅,1.0,0,1,0,0,新宿区,大久保１,19798.360032703014,75201.63996729699,95000.0
ＪＲ中央線 東中野駅 2階建 築33年,東京都新宿区北新宿３,33,1階,84000.0,0,1,33.512,https://suumo.jp/chintai/jnc_000080864869/?bc=100319244139,84000.0,84000.0,ＪＲ中央線,東中野駅,1.0,1,0,0,0,新宿区,北新宿３,19815.697916963487,64184.30208303651,84000.0
東京メトロ丸ノ内線 新宿御苑前駅 8階建 築37年,東京都新宿区新宿５,37,3階,77000.0,0,1,22.722,https://suumo.jp/chintai/jnc_000079940579/?bc=100300610030,77000.0,77000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,0,0,0,0,新宿区,新宿５,19817.815744010826,57182.184255989174,77000.0
東京メトロ東西線 早稲田駅 6階建 築5年,東京都新宿区西早稲田１,5,4階,104000.0,10000,1,24.352,https://suumo.jp/chintai/jnc_000078716647/?bc=100317439780,104000.0,104000.0,東京メトロ東西線,早稲田駅,4.0,0,1,0,0,新宿区,西早稲田１,19824.50828852989,94175.49171147011,114000.0
プレール・ドゥーク新宿中落合,東京都新宿区中落合２,11,2階,80000.0,11000,1,25.372,https://suumo.jp/chintai/jnc_000031135045/?bc=100313741774,0.0,80000.0,西武新宿線,下落合駅,2.0,0,0,0,0,新宿区,中落合２,19836.02505184486,71163.97494815514,91000.0
都営大江戸線 若松河田駅 12階建 築24年,東京都新宿区余丁町,24,7階,86000.0,10500,1,17.642,https://suumo.jp/chintai/jnc_000056797807/?bc=100314225387,0.0,86000.0,都営大江戸線,若松河田駅,7.0,0,1,0,0,新宿区,余丁町,19840.156777210155,76659.84322278984,96500.0
コンシェリア新宿落合,東京都新宿区中落合１,4,2階,98000.0,8500,1,25.662,https://suumo.jp/chintai/jnc_000055759458/?bc=100291990618,0.0,0.0,西武新宿線,中井駅,2.0,0,1,0,0,新宿区,中落合１,19847.36972838138,86652.63027161862,106500.0
木村ビル,東京都新宿区北新宿４,47,5階,77000.0,3000,1,302.0,https://suumo.jp/chintai/jnc_000030725052/?bc=100311237308,77000.0,77000.0,ＪＲ総武線,東中野駅,5.0,1,0,0,0,新宿区,北新宿４,19847.715417653664,60152.284582346336,80000.0
グランファミーユ目白,東京都新宿区中落合２,16,3階,75000.0,4000,1,22.482,https://suumo.jp/chintai/jnc_000013358151/?bc=100316854783,75000.0,0.0,西武池袋線,椎名町駅,3.0,0,0,0,0,新宿区,中落合２,19856.798592116887,59143.20140788311,79000.0
グレイスコート新宿,東京都新宿区百人町１,23,3階,112000.0,8000,1,30.442,https://suumo.jp/chintai/jnc_000047450899/?bc=100319108240,112000.0,112000.0,ＪＲ山手線,新大久保駅,3.0,1,0,0,0,新宿区,百人町１,19864.870117751372,100135.12988224863,120000.0
カサデラスペランツァ,東京都新宿区高田馬場２,32,2階,74000.0,3000,1,182.0,https://suumo.jp/chintai/jnc_000077702244/?bc=100294540082,74000.0,0.0,東京メトロ東西線,高田馬場駅,2.0,0,0,0,0,新宿区,高田馬場２,19894.201139286175,57105.798860713825,77000.0
レジデンス・ド・レイーヌ,東京都新宿区北新宿２,22,3階,84000.0,5000,1,20.372,https://suumo.jp/chintai/jnc_000070864007/?bc=100271666406,84000.0,0.0,東京メトロ丸ノ内線,西新宿駅,3.0,0,1,0,0,新宿区,北新宿２,19900.38640042834,69099.61359957166,89000.0
アーベインテラス中井,東京都新宿区中井２,8,2階,78000.0,4000,1,22.272,https://suumo.jp/chintai/jnc_000073568100/?bc=100306849285,78000.0,78000.0,都営大江戸線,中井駅,2.0,0,0,0,0,新宿区,中井２,19904.010055152103,62095.9899448479,82000.0
レフォルマーレ北新宿,東京都新宿区北新宿４,32,3階,85000.0,3000,1,24.62,https://suumo.jp/chintai/jnc_000080387065/?bc=100316493994,0.0,0.0,ＪＲ総武線,東中野駅,3.0,0,1,0,0,新宿区,北新宿４,19916.9548504305,68083.0451495695,88000.0
西新宿パークハイツ,東京都新宿区西新宿４,46,6階,120000.0,11000,2,39.172,https://suumo.jp/chintai/jnc_000079433251/?bc=100315651170,0.0,60000.0,東京メトロ丸ノ内線,西新宿駅,6.0,1,0,0,0,新宿区,西新宿４,19922.650975074255,111077.34902492574,131000.0
ラハイナ東新宿,東京都新宿区大久保１,18,2階,90000.0,5000,1,21.62,https://suumo.jp/chintai/jnc_000044036852/?bc=100265720685,90000.0,90000.0,東京メトロ副都心線,東新宿駅,2.0,0,0,0,0,新宿区,大久保１,19934.384787608098,75065.6152123919,95000.0
都営新宿線 曙橋駅 8階建 築18年,東京都新宿区住吉町,18,2階,101000.0,9000,1,26.572,https://suumo.jp/chintai/jnc_000078878935/?bc=100316026688,101000.0,0.0,都営新宿線,曙橋駅,2.0,0,1,0,0,新宿区,住吉町,19934.93841129118,90065.06158870882,110000.0
アルカーデンシティリンクス新宿,東京都新宿区大久保２,23,6階,85000.0,10000,1,26.262,https://suumo.jp/chintai/jnc_000016449749/?bc=100317183681,85000.0,85000.0,東京メトロ副都心線,東新宿駅,6.0,0,0,0,0,新宿区,大久保２,19944.650575516047,75055.34942448395,95000.0
ＪＲ中央線 東中野駅 6階建 築21年,東京都新宿区北新宿４,21,3階,78000.0,7000,1,21.542,https://suumo.jp/chintai/jnc_000065680480/?bc=100318437638,78000.0,78000.0,ＪＲ中央線,東中野駅,3.0,0,1,0,0,新宿区,北新宿４,19945.300017283196,65054.699982716804,85000.0
都営大江戸線 東新宿駅 11階建 築9年,東京都新宿区新宿６,9,9階,109000.0,10000,1,26.532,https://suumo.jp/chintai/jnc_000080424272/?bc=100317412777,0.0,109000.0,都営大江戸線,東新宿駅,9.0,0,1,0,0,新宿区,新宿６,19950.62447355513,99049.37552644487,119000.0
ＪＲ総武線 大久保駅 3階建 築24年,東京都新宿区百人町１,24,1階,97000.0,3000,1,20.112,https://suumo.jp/chintai/jnc_000080108896/?bc=100314958243,97000.0,97000.0,ＪＲ総武線,大久保駅,1.0,0,0,0,0,新宿区,百人町１,19951.50065435718,80048.49934564282,100000.0
東京メトロ丸ノ内線 四谷三丁目駅 9階建 築20年,東京都新宿区四谷三栄町,20,4階,98000.0,8000,1,24.562,https://suumo.jp/chintai/jnc_000078269523/?bc=100304306435,98000.0,98000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,0,1,0,0,新宿区,四谷三栄町,19966.110457371353,86033.88954262865,106000.0
都営大江戸線 西新宿五丁目駅 4階建 築54年,東京都新宿区西新宿４,54,2階,75000.0,5000,1,24.32,https://suumo.jp/chintai/jnc_000078647445/?bc=100306847118,75000.0,75000.0,都営大江戸線,西新宿五丁目駅,2.0,0,1,0,0,新宿区,西新宿４,19966.275573060484,60033.724426939516,80000.0
アーバンファースト神楽坂,東京都新宿区山吹町,15,9階,90000.0,5000,1,21.012,https://suumo.jp/chintai/jnc_000064345693/?bc=100312504518,90000.0,90000.0,東京メトロ有楽町線,江戸川橋駅,9.0,0,0,0,0,新宿区,山吹町,19979.32886103433,75020.67113896567,95000.0
メゾンドエル北新宿,東京都新宿区北新宿３,3,2階,116000.0,5000,1,30.522,https://suumo.jp/chintai/jnc_000079166706/?bc=100306816412,116000.0,116000.0,ＪＲ中央線,大久保駅,2.0,0,1,0,0,新宿区,北新宿３,19987.233070311588,101012.76692968841,121000.0
クラシアム飯田橋,東京都新宿区新小川町,0,1階,148000.0,10000,2,30.032,https://suumo.jp/chintai/jnc_000076589793/?bc=100295923867,0.0,0.0,ＪＲ中央線,飯田橋駅,1.0,0,1,0,0,新宿区,新小川町,19991.202778837964,138008.79722116204,158000.0
シャンボール北新宿,東京都新宿区北新宿３,45,13階,98000.0,12000,1,302.0,https://suumo.jp/chintai/jnc_000016432461/?bc=100312771478,98000.0,98000.0,ＪＲ中央線,大久保駅,13.0,1,0,0,0,新宿区,北新宿３,19991.891188785346,90008.10881121465,110000.0
西武新宿線 下落合駅 9階建 築21年,東京都新宿区下落合４,21,3階,63000.0,10000,1,18.452,https://suumo.jp/chintai/jnc_000080347555/?bc=100317682882,0.0,0.0,西武新宿線,下落合駅,3.0,0,1,0,0,新宿区,下落合４,19995.557177554845,53004.442822445155,73000.0
東京メトロ副都心線 東新宿駅 5階建 築5年,東京都新宿区大久保１,5,5階,150000.0,10500,1,25.412,https://suumo.jp/chintai/jnc_000078656865/?bc=100315502378,0.0,150000.0,東京メトロ副都心線,東新宿駅,5.0,1,0,0,0,新宿区,大久保１,19999.32405264466,140500.67594735534,160500.0
ガーラ・プレシャス神宮外苑,東京都新宿区大京町,7,6階,121500.0,12000,2,27.62,https://suumo.jp/chintai/jnc_000079506123/?bc=100313373870,121500.0,243000.0,ＪＲ総武線,千駄ケ谷駅,6.0,0,1,0,0,新宿区,大京町,20001.29182415687,113498.70817584313,133500.0
メルローズＫ,東京都新宿区百人町２,37,2階,89000.0,3000,1,22.282,https://suumo.jp/chintai/jnc_000068237501/?bc=100283258719,89000.0,89000.0,ＪＲ山手線,新大久保駅,2.0,0,1,0,0,新宿区,百人町２,20007.83061288172,71992.16938711828,92000.0
東京メトロ有楽町線 江戸川橋駅 8階建 築4年,東京都新宿区水道町,4,3階,160000.0,10000,1,33.012,https://suumo.jp/chintai/jnc_000079575118/?bc=100316849033,160000.0,0.0,東京メトロ有楽町線,江戸川橋駅,3.0,0,0,0,0,新宿区,水道町,20009.283024996315,149990.71697500368,170000.0
東京メトロ丸ノ内線 新宿御苑前駅 地下1地上8階建 築3年,東京都新宿区新宿１,3,5階,112000.0,10000,1,21.12,https://suumo.jp/chintai/jnc_000079310954/?bc=100312072235,0.0,0.0,東京メトロ丸ノ内線,新宿御苑前駅,5.0,0,1,0,0,新宿区,新宿１,20009.828980836406,101990.1710191636,122000.0
ラクラス四谷三丁目,東京都新宿区四谷坂町,5,2階,145000.0,15000,1,32.042,https://suumo.jp/chintai/jnc_000080164543/?bc=100315322107,145000.0,145000.0,都営新宿線,曙橋駅,2.0,1,0,0,0,新宿区,四谷坂町,20020.013146372832,139979.98685362717,160000.0
ラクラス四谷三丁目,東京都新宿区四谷坂町,5,5階,145000.0,15000,1,30.642,https://suumo.jp/chintai/jnc_000080164544/?bc=100315322146,145000.0,145000.0,都営新宿線,曙橋駅,5.0,1,0,0,0,新宿区,四谷坂町,20020.013146372832,139979.98685362717,160000.0
ＪＲ中央線 東中野駅 5階建 築9年,東京都新宿区北新宿４,9,1階,91000.0,0,1,31.922,https://suumo.jp/chintai/jnc_000041443983/?bc=100317061921,91000.0,91000.0,ＪＲ中央線,東中野駅,1.0,0,1,0,0,新宿区,北新宿４,20043.89276507053,70956.10723492947,91000.0
東京メトロ有楽町線 江戸川橋駅 6階建 築4年,東京都新宿区山吹町,4,2階,131500.0,15000,1,25.742,https://suumo.jp/chintai/jnc_000079740567/?bc=100313371113,0.0,0.0,東京メトロ有楽町線,江戸川橋駅,2.0,1,0,0,0,新宿区,山吹町,20053.558120972768,126446.44187902723,146500.0
ユナイテッドグロー高田馬場,東京都新宿区高田馬場４,19,3階,94000.0,2000,1,22.272,https://suumo.jp/chintai/jnc_000080078873/?bc=100314986779,94000.0,94000.0,ＪＲ山手線,高田馬場駅,3.0,0,1,0,0,新宿区,高田馬場４,20069.451251221224,75930.54874877878,96000.0
都営大江戸線 落合南長崎駅 10階建 築11年,東京都新宿区中落合３,11,8階,85000.0,8000,1,25.662,https://suumo.jp/chintai/jnc_000080927533/?bc=100319583400,0.0,85000.0,都営大江戸線,落合南長崎駅,8.0,0,1,0,0,新宿区,中落合３,20091.34544754117,72908.65455245883,93000.0
都営大江戸線 西新宿五丁目駅 5階建 築8年,東京都新宿区西新宿４,8,3階,98000.0,20000,1,25.942,https://suumo.jp/chintai/jnc_000080912826/?bc=100319500122,0.0,0.0,都営大江戸線,西新宿五丁目駅,3.0,0,1,0,0,新宿区,西新宿４,20092.15956510103,97907.84043489897,118000.0
Ｌｏｇ都庁前,東京都新宿区西新宿４,8,2階,116000.0,10000,1,27.32,https://suumo.jp/chintai/jnc_000046925303/?bc=100312746562,0.0,116000.0,都営大江戸線,都庁前駅,2.0,0,1,0,0,新宿区,西新宿４,20098.468207984566,105901.53179201543,126000.0
東京メトロ丸ノ内線 四谷三丁目駅 13階建 築19年,東京都新宿区信濃町,19,5階,88000.0,8000,1,22.332,https://suumo.jp/chintai/jnc_000040314838/?bc=100309218181,88000.0,88000.0,東京メトロ丸ノ内線,四谷三丁目駅,5.0,0,1,0,0,新宿区,信濃町,20099.364793036788,75900.63520696321,96000.0
関口マンション,東京都新宿区四谷４,50,2階,75000.0,5000,1,202.0,https://suumo.jp/chintai/jnc_000080643548/?bc=100296835613,75000.0,75000.0,東京メトロ丸ノ内線,新宿御苑前駅,2.0,0,1,0,0,新宿区,四谷４,20107.446759309627,59892.55324069037,80000.0
市谷仲之町ビューアパートメント,東京都新宿区市谷仲之町,5,2階,104000.0,10000,1,25.112,https://suumo.jp/chintai/jnc_000080362429/?bc=100316629254,104000.0,104000.0,都営新宿線,曙橋駅,2.0,0,1,0,0,新宿区,市谷仲之町,20119.34407515853,93880.65592484147,114000.0
東京メトロ副都心線 東新宿駅 14階建 新築,東京都新宿区新宿７,0,6階,128000.0,15000,1,29.092,https://suumo.jp/chintai/jnc_000080197608/?bc=100315415674,0.0,0.0,東京メトロ副都心線,東新宿駅,6.0,0,1,0,0,新宿区,新宿７,20127.9310348735,122872.0689651265,143000.0
都営大江戸線 落合南長崎駅 5階建 築1年,東京都新宿区西落合１,1,4階,132000.0,15000,1,30.132,https://suumo.jp/chintai/jnc_000080858498/?bc=100319195868,132000.0,0.0,都営大江戸線,落合南長崎駅,4.0,1,0,1,0,新宿区,西落合１,20127.983304554073,126872.01669544593,147000.0
第一フジマンション,東京都新宿区市谷仲之町,56,1階,80000.0,0,1,28.52,https://suumo.jp/chintai/jnc_000080479026/?bc=100317030727,80000.0,80000.0,都営新宿線,曙橋駅,1.0,0,1,0,0,新宿区,市谷仲之町,20137.762248557956,59862.237751442044,80000.0
都営大江戸線 落合南長崎駅 4階建 築2年,東京都新宿区西落合１,2,4階,100000.0,10000,1,25.092,https://suumo.jp/chintai/jnc_000080732502/?bc=100318461531,0.0,0.0,都営大江戸線,落合南長崎駅,4.0,0,1,0,0,新宿区,西落合１,20143.492930150154,89856.50706984985,110000.0
早稲田桜並木AVE,東京都新宿区西早稲田１,20,2階,74000.0,3000,1,17.782,https://suumo.jp/chintai/jnc_000079865553/?bc=100313791300,74000.0,74000.0,東京メトロ東西線,早稲田駅,2.0,0,1,0,0,新宿区,西早稲田１,20151.435139249123,56848.56486075088,77000.0
東京メトロ丸ノ内線 西新宿駅 9階建 築25年,東京都新宿区西新宿８,25,3階,75000.0,11000,1,19.712,https://suumo.jp/chintai/jnc_000071994272/?bc=100319064241,0.0,75000.0,東京メトロ丸ノ内線,西新宿駅,3.0,0,1,0,0,新宿区,西新宿８,20170.12276075878,65829.87723924122,86000.0
都営大江戸線 中井駅 5階建 築33年,東京都新宿区上落合３,33,2階,81000.0,5000,1,28.182,https://suumo.jp/chintai/jnc_000080838418/?bc=100319071869,81000.0,0.0,都営大江戸線,中井駅,2.0,1,0,0,0,新宿区,上落合３,20170.12276075878,65829.87723924122,86000.0
都営大江戸線 西新宿五丁目駅 7階建 築14年,東京都新宿区西新宿５,14,4階,99000.0,13000,1,22.922,https://suumo.jp/chintai/jnc_000078177690/?bc=100304380663,0.0,0.0,都営大江戸線,西新宿五丁目駅,4.0,0,1,0,0,新宿区,西新宿５,20172.534583676214,91827.46541632379,112000.0
ZOOM都庁前,東京都新宿区西新宿３,6,7階,137000.0,8000,1,30.72,https://suumo.jp/chintai/jnc_000036762733/?bc=100318859287,137000.0,137000.0,都営大江戸線,都庁前駅,7.0,0,1,0,0,新宿区,西新宿３,20191.938007518183,124808.06199248182,145000.0
東京メトロ東西線 落合駅 9階建 築6年,東京都新宿区北新宿４,6,9階,110500.0,0,1,25.52,https://suumo.jp/chintai/jnc_000066965458/?bc=100319167872,110500.0,110500.0,東京メトロ東西線,落合駅,9.0,0,1,0,0,新宿区,北新宿４,20192.736516228193,90307.2634837718,110500.0
池澤方貸家,東京都新宿区高田馬場３,60,1階,100000.0,0,3,43.162,https://suumo.jp/chintai/jnc_000054901332/?bc=100316373109,100000.0,100000.0,ＪＲ山手線,高田馬場駅,1.0,0,1,0,0,新宿区,高田馬場３,20220.937682631382,79779.06231736862,100000.0
クラシアム飯田橋,東京都新宿区新小川町,0,1階,148000.0,10000,2,30.072,https://suumo.jp/chintai/jnc_000075866240/?bc=100299985401,0.0,0.0,ＪＲ中央線,飯田橋駅,1.0,0,1,0,0,新宿区,新小川町,20228.075123383605,137771.9248766164,158000.0
シンシティー哲学堂レブプレスト,東京都新宿区西落合２,12,1階,72000.0,17000,1,25.312,https://suumo.jp/chintai/jnc_000065617650/?bc=100269956512,0.0,0.0,都営大江戸線,落合南長崎駅,1.0,0,1,0,0,新宿区,西落合２,20249.746838558232,68750.25316144177,89000.0
