マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
リハイム早稲田,東京都新宿区早稲田町,44,2階,62000.0,3000,1,202.0,https://suumo.jp/chintai/jnc_000030100961/?bc=100319262442,62000.0,62000.0,東京メトロ東西線,早稲田駅,2.0,0,1,0,0,新宿区,早稲田町,-208555.35853097204,273555.35853097204,65000.0
東京メトロ東西線 早稲田駅 4階建 築37年,東京都新宿区早稲田町,37,4階,66000.0,0,1,16.52,https://suumo.jp/chintai/jnc_000080197653/?bc=100319472043,66000.0,66000.0,東京メトロ東西線,早稲田駅,4.0,0,1,0,0,新宿区,早稲田町,-207089.63366065745,273089.63366065745,66000.0
都営大江戸線 東新宿駅 地下1地上11階建 築39年,東京都新宿区大久保２,39,5階,78000.0,5000,1,25.692,https://suumo.jp/chintai/jnc_000080437067/?bc=100316780511,78000.0,78000.0,都営大江戸線,東新宿駅,5.0,0,0,0,0,新宿区,大久保２,-206521.14309270005,289521.14309270005,83000.0
東京メトロ丸ノ内線 新宿御苑前駅 9階建 築25年,東京都新宿区新宿１,25,6階,63000.0,10500,1,12.62,https://suumo.jp/chintai/jnc_000080790680/?bc=100318921341,0.0,63000.0,東京メトロ丸ノ内線,新宿御苑前駅,6.0,0,0,0,0,新宿区,新宿１,-205419.64856943296,278919.64856943296,73500.0
都営大江戸線 牛込柳町駅 6階建 築38年,東京都新宿区市谷柳町,38,3階,60000.0,5000,1,14.482,https://suumo.jp/chintai/jnc_000039562482/?bc=100313521257,60000.0,0.0,都営大江戸線,牛込柳町駅,3.0,0,0,0,0,新宿区,市谷柳町,-205189.70784473518,270189.7078447352,65000.0
都営新宿線 新宿三丁目駅 11階建 築39年,東京都新宿区富久町,39,2階,78000.0,10500,1,19.962,https://suumo.jp/chintai/jnc_000056195143/?bc=100291614186,0.0,78000.0,都営新宿線,新宿三丁目駅,2.0,0,1,0,0,新宿区,富久町,-204909.96976254205,293409.96976254205,88500.0
東京メトロ丸ノ内線 西新宿駅 2階建 築30年,東京都新宿区北新宿１,30,2階,62000.0,4000,1,16.32,https://suumo.jp/chintai/jnc_000056498673/?bc=100318697765,0.0,0.0,東京メトロ丸ノ内線,西新宿駅,2.0,0,0,0,0,新宿区,北新宿１,-204206.08996714844,270206.08996714844,66000.0
神楽坂七番館,東京都新宿区横寺町,62,2階,78000.0,2000,1,18.222,https://suumo.jp/chintai/jnc_000080790726/?bc=100318792701,78000.0,78000.0,東京メトロ東西線,神楽坂駅,2.0,0,1,0,0,新宿区,横寺町,-203685.1399453844,283685.1399453844,80000.0
ヴァローレエテルノ西早稲田,東京都新宿区西早稲田３,17,10階,80000.0,0,1,19.762,https://suumo.jp/chintai/jnc_000061890943/?bc=100315567636,0.0,80000.0,東京メトロ副都心線,西早稲田駅,10.0,0,1,0,0,新宿区,西早稲田３,-203514.6170487395,283514.6170487395,80000.0
メゾン長井,東京都新宿区中井２,39,2階,59000.0,1000,1,172.0,https://suumo.jp/chintai/jnc_000063194348/?bc=100276667180,59000.0,0.0,都営大江戸線,中井駅,2.0,0,1,0,0,新宿区,中井２,-202970.00847819337,262970.00847819337,60000.0
コーポ中里,東京都新宿区中里町,61,2階,68000.0,2000,1,24.012,https://suumo.jp/chintai/jnc_000017407962/?bc=100317337446,68000.0,68000.0,東京メトロ東西線,神楽坂駅,2.0,0,0,0,0,新宿区,中里町,-202479.2209698839,272479.2209698839,70000.0
スカイコート高田馬場第６,東京都新宿区下落合４,21,7階,86000.0,0,1,20.022,https://suumo.jp/chintai/jnc_000044988179/?bc=100319230859,86000.0,0.0,西武新宿線,下落合駅,7.0,0,1,0,0,新宿区,下落合４,-199999.8110899668,285999.8110899668,86000.0
日興パレセゾン早稲田,東京都新宿区西早稲田１,38,2階,60000.0,4000,1,14.462,https://suumo.jp/chintai/jnc_000060505191/?bc=100311337467,60000.0,60000.0,都電荒川線,早稲田駅,2.0,0,0,0,0,新宿区,西早稲田１,-198329.2679982818,262329.2679982818,64000.0
コーポ寺口,東京都新宿区中井２,63,2階,57000.0,2000,1,202.0,https://suumo.jp/chintai/jnc_000075914482/?bc=100291709024,57000.0,57000.0,東京メトロ東西線,落合駅,2.0,0,1,0,0,新宿区,中井２,-198305.6627045582,257305.6627045582,59000.0
フラット大久保Ｄ,東京都新宿区大久保１,46,2階,55000.0,3000,1,16.242,https://suumo.jp/chintai/jnc_000065902145/?bc=100319634132,55000.0,0.0,ＪＲ山手線,新大久保駅,2.0,0,0,0,0,新宿区,大久保１,-197930.40885902644,255930.40885902644,58000.0
スカイコート高田馬場第６,東京都新宿区下落合４,21,6階,73000.0,6000,1,20.022,https://suumo.jp/chintai/jnc_000080131921/?bc=100315065006,73000.0,73000.0,西武新宿線,下落合駅,6.0,0,1,0,0,新宿区,下落合４,-197860.92630734894,276860.92630734894,79000.0
東京メトロ東西線 神楽坂駅 8階建 築22年,東京都新宿区東五軒町,22,5階,79000.0,9000,1,19.662,https://suumo.jp/chintai/jnc_000077472593/?bc=100315986639,0.0,79000.0,東京メトロ東西線,神楽坂駅,5.0,0,1,0,0,新宿区,東五軒町,-197813.830844831,285813.830844831,88000.0
ＪＲ山手線 新宿駅 6階建 築23年,東京都新宿区百人町１,23,2階,83000.0,6000,1,22.32,https://suumo.jp/chintai/jnc_000079063202/?bc=100317530754,0.0,83000.0,ＪＲ山手線,新宿駅,2.0,0,1,0,0,新宿区,百人町１,-197796.1280786452,286796.1280786452,89000.0
Ｒｏｏｍｓ北新宿,東京都新宿区北新宿１,30,2階,62000.0,4000,1,16.32,https://suumo.jp/chintai/jnc_000056483542/?bc=100318700465,0.0,0.0,東京メトロ丸ノ内線,西新宿駅,2.0,0,0,0,0,新宿区,北新宿１,-197638.58998286654,263638.58998286654,66000.0
スカイコート落合第2,東京都新宿区中落合１,37,3階,50000.0,0,1,16.062,https://suumo.jp/chintai/jnc_000072428444/?bc=100317079838,50000.0,50000.0,西武新宿線,下落合駅,3.0,0,0,0,0,新宿区,中落合１,-196799.13895239425,246799.13895239425,50000.0
西武池袋線 椎名町駅 7階建 築36年,東京都新宿区下落合４,36,4階,65000.0,3000,1,18.382,https://suumo.jp/chintai/jnc_000070164464/?bc=100318562527,0.0,65000.0,西武池袋線,椎名町駅,4.0,0,1,0,0,新宿区,下落合４,-196068.24625205377,264068.24625205377,68000.0
飯田橋ハイツ,東京都新宿区東五軒町,46,2階,75000.0,2000,1,19.842,https://suumo.jp/chintai/jnc_000079371435/?bc=100315871442,0.0,0.0,東京メトロ有楽町線,江戸川橋駅,2.0,0,0,0,0,新宿区,東五軒町,-195964.90234809596,272964.90234809596,77000.0
ＪＲ中央線 四ツ谷駅 3階建 築5年,東京都新宿区四谷三栄町,5,3階,75000.0,3000,1,12.032,https://suumo.jp/chintai/jnc_000059377727/?bc=100316663523,75000.0,0.0,ＪＲ中央線,四ツ谷駅,3.0,0,0,0,0,新宿区,四谷三栄町,-194965.1142090669,272965.1142090669,78000.0
ライオンズマンション新宿御苑前,東京都新宿区新宿２,42,9階,69000.0,0,1,21.172,https://suumo.jp/chintai/jnc_000080838435/?bc=100319055824,69000.0,69000.0,東京メトロ丸ノ内線,新宿御苑前駅,9.0,0,1,0,0,新宿区,新宿２,-194791.98162350245,263791.98162350245,69000.0
落合コーポ,東京都新宿区下落合２,46,2階,75000.0,2000,1,212.0,https://suumo.jp/chintai/jnc_000080671527/?bc=100318113453,75000.0,0.0,西武新宿線,下落合駅,2.0,0,1,0,0,新宿区,下落合２,-194451.27408412658,271451.2740841266,77000.0
スタジオ明泉,東京都新宿区南元町,22,5階,73000.0,5000,1,16.722,https://suumo.jp/chintai/jnc_000080430751/?bc=100317385407,0.0,0.0,ＪＲ中央線,信濃町駅,5.0,0,0,0,0,新宿区,南元町,-193100.96450108802,271100.964501088,78000.0
ＪＲ山手線 高田馬場駅 4階建 築42年,東京都新宿区高田馬場３,42,2階,63000.0,3000,1,222.0,https://suumo.jp/chintai/jnc_000020008542/?bc=100317079917,63000.0,0.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,高田馬場３,-192847.3086985937,258847.3086985937,66000.0
ＪＲ山手線 新宿駅 6階建 築23年,東京都新宿区百人町１,23,1階,79000.0,6000,1,22.32,https://suumo.jp/chintai/jnc_000080732518/?bc=100318510985,0.0,79000.0,ＪＲ山手線,新宿駅,1.0,0,1,0,0,新宿区,百人町１,-192839.93437365995,277839.93437365995,85000.0
ＪＲ山手線 高田馬場駅 2階建 築42年,東京都新宿区高田馬場４,42,2階,57000.0,3000,1,25.12,https://suumo.jp/chintai/jnc_000080723021/?bc=100318429773,57000.0,57000.0,ＪＲ山手線,高田馬場駅,2.0,0,1,0,0,新宿区,高田馬場４,-192794.88959363766,252794.88959363766,60000.0
都営新宿線 曙橋駅 8階建 築52年,東京都新宿区荒木町,52,5階,78000.0,4000,1,30.512,https://suumo.jp/chintai/jnc_000080912786/?bc=100319577066,78000.0,0.0,都営新宿線,曙橋駅,5.0,0,0,0,0,新宿区,荒木町,-192310.04671373597,274310.04671373597,82000.0
エクセルフォルム東新宿,東京都新宿区大久保１,51,5階,90000.0,5000,1,28.842,https://suumo.jp/chintai/jnc_000078861851/?bc=100311927675,90000.0,0.0,東京メトロ副都心線,東新宿駅,5.0,0,0,0,0,新宿区,大久保１,-192225.72899612592,287225.7289961259,95000.0
北新宿レーベル,東京都新宿区北新宿３,0,1階,86000.0,9000,1,15.382,https://suumo.jp/chintai/jnc_000080927504/?bc=100319391970,86000.0,0.0,ＪＲ中央線,東中野駅,1.0,0,1,0,0,新宿区,北新宿３,-192104.6166683372,287104.6166683372,95000.0
ＪＲ中央線 東中野駅 6階建 築31年,東京都新宿区北新宿４,31,4階,65000.0,4000,1,21.142,https://suumo.jp/chintai/jnc_000076239711/?bc=100316548303,65000.0,65000.0,ＪＲ中央線,東中野駅,4.0,0,1,0,0,新宿区,北新宿４,-191945.4964169543,260945.4964169543,69000.0
たかはし荘,東京都新宿区上落合３,60,2階,39000.0,0,1,132.0,https://suumo.jp/chintai/jnc_000076393122/?bc=100312696541,39000.0,0.0,東京メトロ東西線,落合駅,2.0,0,1,0,0,新宿区,上落合３,-191886.92921824878,230886.92921824878,39000.0
クリスタル中井　306号,東京都新宿区中井２,37,3階,53000.0,5000,1,15.082,https://suumo.jp/chintai/jnc_000080606269/?bc=100317747298,0.0,53000.0,西武新宿線,中井駅,3.0,0,0,0,0,新宿区,中井２,-191819.04975367023,249819.04975367023,58000.0
Stage北新宿,東京都新宿区北新宿２,8,1階,65500.0,3500,1,10.222,https://suumo.jp/chintai/jnc_000016510847/?bc=100314775140,0.0,0.0,東京メトロ丸ノ内線,西新宿駅,1.0,0,0,0,0,新宿区,北新宿２,-191177.04776952774,260177.04776952774,69000.0
飯田橋ハイツ,東京都新宿区東五軒町,46,6階,69000.0,0,1,19.842,https://suumo.jp/chintai/jnc_000077038335/?bc=100298370119,69000.0,69000.0,東京メトロ有楽町線,江戸川橋駅,6.0,0,0,0,0,新宿区,東五軒町,-190561.3501366122,259561.3501366122,69000.0
若草荘,東京都新宿区愛住町,60,2階,55000.0,5000,1,242.0,https://suumo.jp/chintai/jnc_000077631950/?bc=100317337482,0.0,55000.0,東京メトロ丸ノ内線,四谷三丁目駅,2.0,1,0,0,0,新宿区,愛住町,-190438.74823285113,250438.74823285113,60000.0
ＳＫＹＶＩＬＬＡ－Ｋ,東京都新宿区西落合４,32,2階,52000.0,0,1,142.0,https://suumo.jp/chintai/jnc_000075687009/?bc=100283392567,0.0,0.0,西武池袋線,東長崎駅,2.0,0,0,0,0,新宿区,西落合４,-189949.08806007242,241949.08806007242,52000.0
